date,current_price,aapl_pred_1d,aapl_actual_1d,aapl_return_1d,aapl_pred_3d,aapl_actual_3d,aapl_return_3d,aapl_pred_5d,aapl_actual_5d,aapl_return_5d,vgt_pred_1d,vgt_actual_1d,vgt_return_1d,vgt_pred_3d,vgt_actual_3d,vgt_return_3d,vgt_pred_5d,vgt_actual_5d,vgt_return_5d,sentiment_dist,sentiment_score,sentiment_strength,sentiment_pred_1d,sentiment_pred_3d,sentiment_pred_5d
2025-09-02,232.14,1,0,-0.010424743689153,1,1,0.0329111742913759,1,1,0.0247264581717929,-1,0,-0.010344067272996,-1,1,0.0007459735467044,-1,1,0.0113339117350159,"{'NEUTRAL': 8, 'NEGATIVE': 2}",-0.1509859034791588,0.2481574377045035,-0.1509859034791588,-0.1509859034791588,-0.1509859034791588
2025-09-03,229.72,-1,1,0.038089848511231,-1,1,0.0434006616750827,-1,1,0.0201549712693713,-1,1,0.0044795333010613,-1,1,0.0130180491737324,-1,1,0.0231078159171682,{'NEUTRAL': 10},0.0408054864034056,0.162254330329597,0.0408054864034056,-0.0550902085378765,-0.0550902085378765
2025-09-04,238.47,1,1,0.0054933534616513,1,0,-0.0024741057575376,1,0,-0.0489789072000671,-1,1,0.0066964258187246,-1,1,0.0173473200643313,-1,1,0.0317938627298331,"{'NEUTRAL': 9, 'NEGATIVE': 1}",-0.0918265818618238,0.1956448239274323,-0.0918265818618238,-0.0673356663125256,-0.0673356663125256
2025-09-05,239.78,1,0,-0.0003753440653932,1,0,-0.022645758612061,1,0,-0.0406622737509383,1,1,0.0017920119840801,1,1,0.011769966211649,1,1,0.030435591038015,{'NEUTRAL': 10},0.0081291310489177,0.1438498895615339,0.0081291310489177,-0.0142973214698334,-0.0484694669721648
2025-09-08,239.69,1,0,-0.0075514205849222,1,0,-0.0538195168759648,1,0,-0.0234469523134048,1,1,0.0087723136787354,1,1,0.0230970894774423,1,1,0.0297371598767575,{'NEUTRAL': 10},0.0227713534608483,0.1080774465575814,0.0227713534608483,-0.0831284562125802,-0.0666165638901293
2025-09-09,237.88,-1,0,-0.0148394148310072,-1,0,-0.0329998318479905,-1,0,-0.0049604842777871,1,1,0.0011774628468002,1,1,0.0196476720150788,1,1,0.0307978529464148,{'NEUTRAL': 10},0.0986365125514567,0.1403020146302878,0.0986365125514567,0.0019607634283602,-0.0285239450074732
2025-09-10,234.35,-1,0,-0.0322594410070407,-1,0,-0.0011947941113718,-1,1,0.0162150629400469,1,1,0.0130074285168703,1,1,0.0195820153371856,1,1,0.026099869514922,{'NEUTRAL': 10},0.0529002211987972,0.1126628153026104,0.0529002211987972,0.058102695737034,-0.0195697269774973
2025-09-11,226.79,-1,1,0.0142863441950703,-1,1,0.043696812028749,-1,1,0.053794259006129,1,1,0.0053711928367931,1,1,0.0163652557969227,1,1,0.0091897212195967,"{'NEUTRAL': 9, 'POSITIVE': 1}",0.0204927493818104,0.2019596266560256,0.0204927493818104,0.0573431610440214,0.0158550521731376
2025-09-12,230.03,-1,1,0.0175629265747945,-1,1,0.0352997435117158,-1,1,0.0341259835673607,1,1,0.0011129954940113,1,1,0.0075127832716615,1,1,0.0216202368004695,{'NEUTRAL': 10},0.0361572621390223,0.1330769984051585,0.0361572621390223,0.0365167442398766,0.046191619746387
2025-09-15,234.07,1,1,0.0112359550561797,1,1,0.0210193531849447,1,1,0.0488315461186824,1,1,0.0098114116579802,1,1,0.0026821471936526,1,1,0.030017893139069,{'NEUTRAL': 10},-0.016872464865446,0.1205772288143634,-0.016872464865446,-0.0125174708664417,0.0038195197843015
2025-09-16,236.7,1,1,0.0061258977608788,1,1,0.0049852133502323,1,1,0.0818757921419518,1,0,-0.0033855221448679,1,1,0.0105693305040711,1,1,0.0364972810825875,{'NEUTRAL': 10},0.0270113899372518,0.1413491022773087,0.0270113899372518,0.0015959187721212,0.0051232478953897
2025-09-17,238.15,1,1,0.0035271887465882,1,1,0.0308629015326474,1,1,0.0683602771362586,1,0,-0.0036869560644127,1,1,0.0234751514163617,1,1,0.029330116872588,"{'NEUTRAL': 9, 'POSITIVE': 1}",0.0614361207000911,0.1977533479221165,0.0614361207000911,0.0238583485906322,0.0101790196076035
2025-09-18,238.99,1,0,-0.0046445457968953,1,1,0.0715092681702162,1,1,0.0557345495627431,-1,1,0.0177546743708853,-1,1,0.0438669777048683,-1,1,0.0243381809543918,"{'NEUTRAL': 8, 'NEGATIVE': 2}",-0.1883043834008276,0.2865730949677527,-0.1883043834008276,-0.0332856242544949,-0.0244161012768745
2025-09-19,237.88,-1,1,0.0320329577938456,-1,1,0.0695728938960821,-1,1,0.0798301664704893,1,1,0.009342083553772,1,1,0.0151161983669598,1,1,0.0034318197214098,"{'NEUTRAL': 9, 'POSITIVE': 1}",0.0494258251041174,0.1786392044275999,0.0494258251041174,-0.0258141458655397,-0.0134607025049626
2025-09-22,245.5,1,1,0.0430957230142565,1,1,0.0277393075356415,1,1,0.0405702647657841,1,1,0.0161636895450992,1,0,-0.0028468305519845,1,0,-0.0033325293253604,{'NEUTRAL': 10},0.0294024183414876,0.1035493240691721,0.0294024183414876,0.050033732658873,0.0022445279359817
2025-09-23,256.08,1,0,-0.006443298969072,1,1,0.0030849734457982,1,0,-0.006443298969072,1,0,-0.0102769050237406,1,0,-0.0216689992633478,1,0,-0.0132643576255651,"{'NEUTRAL': 9, 'NEGATIVE': 1}",-0.015578243881464,0.2204770993441343,-0.015578243881464,0.0119526034221053,0.0367897558398544
