GRID SEARCH RESULTS (per horizon)
============================================================

Horizon: 1d
Best CV Score: 0.6000
Best Weights: AAPL=0.200, VGT=0.100, Sentiment=0.700
------------------------------------------------------------
AAPL    VGT     SENT    CV      
0.100   0.100   0.800   0.5000  
0.100   0.200   0.700   0.5000  
0.100   0.300   0.600   0.5000  
0.100   0.400   0.500   0.5000  
0.100   0.500   0.400   0.5000  
0.100   0.600   0.300   0.5000  
0.100   0.700   0.200   0.5000  
0.100   0.800   0.100   0.5000  
0.200   0.100   0.700   0.6000  
0.200   0.200   0.600   0.5000  
0.200   0.300   0.500   0.5000  
0.200   0.400   0.400   0.5000  
0.200   0.500   0.300   0.5000  
0.200   0.600   0.200   0.5000  
0.200   0.700   0.100   0.5000  
0.300   0.100   0.600   0.6000  
0.300   0.200   0.500   0.6000  
0.300   0.300   0.400   0.5000  
0.300   0.400   0.300   0.5000  
0.300   0.500   0.200   0.5000  
0.300   0.600   0.100   0.5000  
0.400   0.100   0.500   0.6000  
0.400   0.200   0.400   0.6000  
0.400   0.300   0.300   0.6000  
0.400   0.400   0.200   0.5000  
0.400   0.500   0.100   0.5000  
0.500   0.100   0.400   0.6000  
0.500   0.200   0.300   0.6000  
0.500   0.300   0.200   0.6000  
0.500   0.400   0.100   0.6000  
0.600   0.100   0.300   0.6000  
0.600   0.200   0.200   0.6000  
0.600   0.300   0.100   0.6000  
0.700   0.100   0.200   0.6000  
0.700   0.200   0.100   0.6000  
0.800   0.100   0.100   0.6000  
0.500   0.300   0.200   0.6000  
0.600   0.200   0.200   0.6000  
0.400   0.400   0.200   0.5000  
0.300   0.300   0.400   0.5000  
0.700   0.200   0.100   0.6000  

Horizon: 3d
Best CV Score: 0.6000
Best Weights: AAPL=0.100, VGT=0.100, Sentiment=0.800
------------------------------------------------------------
AAPL    VGT     SENT    CV      
0.100   0.100   0.800   0.6000  
0.100   0.200   0.700   0.6000  
0.100   0.300   0.600   0.6000  
0.100   0.400   0.500   0.6000  
0.100   0.500   0.400   0.6000  
0.100   0.600   0.300   0.6000  
0.100   0.700   0.200   0.6000  
0.100   0.800   0.100   0.6000  
0.200   0.100   0.700   0.5000  
0.200   0.200   0.600   0.6000  
0.200   0.300   0.500   0.6000  
0.200   0.400   0.400   0.6000  
0.200   0.500   0.300   0.6000  
0.200   0.600   0.200   0.6000  
0.200   0.700   0.100   0.6000  
0.300   0.100   0.600   0.5000  
0.300   0.200   0.500   0.5000  
0.300   0.300   0.400   0.6000  
0.300   0.400   0.300   0.6000  
0.300   0.500   0.200   0.6000  
0.300   0.600   0.100   0.6000  
0.400   0.100   0.500   0.5000  
0.400   0.200   0.400   0.5000  
0.400   0.300   0.300   0.5000  
0.400   0.400   0.200   0.6000  
0.400   0.500   0.100   0.6000  
0.500   0.100   0.400   0.5000  
0.500   0.200   0.300   0.5000  
0.500   0.300   0.200   0.5000  
0.500   0.400   0.100   0.5000  
0.600   0.100   0.300   0.5000  
0.600   0.200   0.200   0.5000  
0.600   0.300   0.100   0.5000  
0.700   0.100   0.200   0.5000  
0.700   0.200   0.100   0.5000  
0.800   0.100   0.100   0.5000  
0.500   0.300   0.200   0.5000  
0.600   0.200   0.200   0.5000  
0.400   0.400   0.200   0.6000  
0.300   0.300   0.400   0.6000  
0.700   0.200   0.100   0.5000  

Horizon: 5d
Best CV Score: 0.7000
Best Weights: AAPL=0.100, VGT=0.100, Sentiment=0.800
------------------------------------------------------------
AAPL    VGT     SENT    CV      
0.100   0.100   0.800   0.7000  
0.100   0.200   0.700   0.7000  
0.100   0.300   0.600   0.7000  
0.100   0.400   0.500   0.7000  
0.100   0.500   0.400   0.7000  
0.100   0.600   0.300   0.7000  
0.100   0.700   0.200   0.7000  
0.100   0.800   0.100   0.7000  
0.200   0.100   0.700   0.4000  
0.200   0.200   0.600   0.7000  
0.200   0.300   0.500   0.7000  
0.200   0.400   0.400   0.7000  
0.200   0.500   0.300   0.7000  
0.200   0.600   0.200   0.7000  
0.200   0.700   0.100   0.7000  
0.300   0.100   0.600   0.4000  
0.300   0.200   0.500   0.4000  
0.300   0.300   0.400   0.7000  
0.300   0.400   0.300   0.7000  
0.300   0.500   0.200   0.7000  
0.300   0.600   0.100   0.7000  
0.400   0.100   0.500   0.4000  
0.400   0.200   0.400   0.4000  
0.400   0.300   0.300   0.4000  
0.400   0.400   0.200   0.7000  
0.400   0.500   0.100   0.7000  
0.500   0.100   0.400   0.4000  
0.500   0.200   0.300   0.4000  
0.500   0.300   0.200   0.4000  
0.500   0.400   0.100   0.4000  
0.600   0.100   0.300   0.4000  
0.600   0.200   0.200   0.4000  
0.600   0.300   0.100   0.4000  
0.700   0.100   0.200   0.4000  
0.700   0.200   0.100   0.4000  
0.800   0.100   0.100   0.4000  
0.500   0.300   0.200   0.4000  
0.600   0.200   0.200   0.4000  
0.400   0.400   0.200   0.7000  
0.300   0.300   0.400   0.7000  
0.700   0.200   0.100   0.4000  

